format,period,group,gross_profits,gross_norm_diff,total_ce_profit,overall_order_num,overall_order_price_low,overall_order_price_high,overall_order_quantity,overall_order_rate,overall_order_price_low_initial,overall_order_price_high_initial,overall_order_quantity_initial,overall_order_rate_initial,max_quantity/rate_orders_buy,max_quantity/rate_orders_sell,%no_trans,max_quantity/rate_orders,buyer_profit,buyer_ce_profit,buyer_order_num,buyer_order_price_low,buyer_order_price_high,buyer_order_quantity,buyer_order_rate,buyer_order_price_low_initial,buyer_order_price_high_initial,buyer_order_quantity_initial,buyer_order_rate_initial,seller_profit,seller_ce_profit,seller_order_num,seller_order_price_low,seller_order_price_high,seller_order_quantity,seller_order_rate,seller_order_price_low_initial,seller_order_price_high_initial,seller_order_quantity_initial,seller_order_rate_initial,%max_quantity/rate_orders_buy,%max_quantity/rate_orders_sell,%max_quantity/rate_orders,group_id,block,seller_realized_surplus,buyer_realized_surplus
CDA,1,CDA1,6131.0,1.3358333333333334,11700.0,34.0,9.973333333333333,9.973333333333333,105.81111111111112,0.0,12.5,12.5,141.16666666666669,,2.0,3.0,,5.0,3806.0,2400.0,9,7.666666666666667,7.666666666666667,115.22222222222223,0.0,8.0,8.0,154.33333333333334,,2325.0,9300.0,25,12.28,12.28,96.4,0.0,17.0,17.0,128.0,,0.2222222222222222,0.12,0.1711111111111111,1,1,0.25,1.5858333333333334
CDA,1,CDA2,9713.0,3.1978897849462364,11700.0,22.0,9.572649572649572,9.572649572649572,128.60256410256412,0.0,9.833333333333332,9.833333333333332,136.41666666666669,,3.0,3.0,,6.0,8093.0,2400.0,9,6.222222222222222,6.222222222222222,116.66666666666667,0.0,9.666666666666666,9.666666666666666,133.33333333333334,,1620.0,9300.0,13,12.923076923076923,12.923076923076923,140.53846153846155,0.0,10.0,10.0,139.5,,0.3333333333333333,0.23076923076923078,0.28205128205128205,2,1,0.17419354838709677,3.3720833333333333
CDA,1,CDA3,11100.0,1.2916532258064515,11700.0,29.0,11.41388888888889,11.41388888888889,127.57222222222222,0.0,11.45,11.45,154.0,,6.0,3.0,,9.0,4741.0,2400.0,20,8.05,8.05,112.7,0.0,7.4,7.4,126.0,,6359.0,9300.0,9,14.777777777777779,14.777777777777779,142.44444444444446,0.0,15.5,15.5,182.0,,0.3,0.3333333333333333,0.31666666666666665,3,1,0.683763440860215,1.9754166666666666
CDA,1,CDA4,8405.0,1.0609139784946238,11700.0,27.0,10.735795454545453,10.735795454545453,112.67329545454545,0.0,9.375,9.375,153.875,,2.0,3.0,,5.0,3748.0,2400.0,16,8.5625,8.5625,111.4375,0.0,9.75,9.75,127.25,,4657.0,9300.0,11,12.909090909090908,12.909090909090908,113.9090909090909,0.0,9.0,9.0,180.5,,0.125,0.2727272727272727,0.19886363636363635,4,1,0.500752688172043,1.5616666666666668
CDA,1,CDA5,5063.0,0.22877688172043015,11700.0,27.0,13.090659340659341,13.090659340659341,129.69505494505495,0.0,12.333333333333332,12.333333333333332,125.33333333333333,,3.0,5.0,,8.0,1475.0,2400.0,14,9.642857142857142,9.642857142857142,118.92857142857143,0.0,8.333333333333334,8.333333333333334,110.0,,3588.0,9300.0,13,16.53846153846154,16.53846153846154,140.46153846153845,0.0,16.333333333333332,16.333333333333332,140.66666666666666,,0.21428571428571427,0.38461538461538464,0.29945054945054944,5,1,0.3858064516129032,0.6145833333333334
CDA,2,CDA1,8407.0,1.2373521505376344,11700.0,31.0,9.31359649122807,9.31359649122807,106.04385964912281,0.0,11.75,11.75,163.25,,2.0,1.0,,3.0,4085.0,2400.0,12,7.416666666666667,7.416666666666667,122.66666666666667,0.0,11.5,11.5,164.5,,4322.0,9300.0,19,11.210526315789474,11.210526315789474,89.42105263157895,0.0,12.0,12.0,162.0,,0.16666666666666666,0.05263157894736842,0.10964912280701754,1,1,0.4647311827956989,1.7020833333333334
CDA,2,CDA2,10081.0,2.6702956989247313,11700.0,35.0,10.234265734265733,10.234265734265733,125.26048951048952,0.0,10.166666666666668,10.166666666666668,155.25,,7.0,5.0,,12.0,7162.0,2400.0,13,6.923076923076923,6.923076923076923,139.3846153846154,0.0,7.0,7.0,150.5,,2919.0,9300.0,22,13.545454545454545,13.545454545454545,111.13636363636364,0.0,13.333333333333334,13.333333333333334,160.0,,0.5384615384615384,0.22727272727272727,0.38286713286713286,2,1,0.31387096774193546,2.984166666666667
CDA,2,CDA3,10162.0,2.3287231182795702,11700.0,31.0,9.892543859649123,9.892543859649123,134.3267543859649,0.0,10.5,10.5,153.58333333333331,,4.0,4.0,,8.0,6527.0,2400.0,19,8.368421052631579,8.368421052631579,109.73684210526316,0.0,7.0,7.0,125.5,,3635.0,9300.0,12,11.416666666666666,11.416666666666666,158.91666666666666,0.0,14.0,14.0,181.66666666666666,,0.21052631578947367,0.3333333333333333,0.27192982456140347,3,1,0.39086021505376345,2.7195833333333335
CDA,2,CDA4,7916.0,1.2896236559139784,11700.0,28.0,11.760233918128655,11.760233918128655,113.13450292397661,0.0,9.5,9.5,74.5,,1.0,3.0,,4.0,4084.0,2400.0,19,10.631578947368421,10.631578947368421,97.15789473684211,0.0,9.5,9.5,74.5,,3832.0,9300.0,9,12.88888888888889,12.88888888888889,129.11111111111111,0.0,,,,,0.05263157894736842,0.3333333333333333,0.19298245614035087,4,1,0.4120430107526882,1.7016666666666667
CDA,2,CDA5,7631.0,-0.12073924731182795,11700.0,29.0,13.378787878787879,13.378787878787879,126.13383838383838,0.0,14.375,14.375,183.125,,6.0,5.0,,11.0,1335.0,2400.0,18,10.666666666666666,10.666666666666666,111.72222222222223,0.0,11.75,11.75,166.25,,6296.0,9300.0,11,16.09090909090909,16.09090909090909,140.54545454545453,0.0,17.0,17.0,200.0,,0.3333333333333333,0.45454545454545453,0.3939393939393939,5,1,0.676989247311828,0.55625
CDA,3,CDA1,8801.0,1.985470430107527,11700.0,38.0,8.807692307692307,8.807692307692307,91.42615384615385,0.0,8.325,8.325,127.85,,1.0,5.0,,6.0,5593.0,2400.0,13,5.615384615384615,5.615384615384615,89.6923076923077,0.0,6.25,6.25,135.5,,3208.0,9300.0,25,12.0,12.0,93.16,0.0,10.4,10.4,120.2,,0.07692307692307693,0.2,0.13846153846153847,1,1,0.3449462365591398,2.330416666666667
CDA,3,CDA2,10589.0,2.8814381720430107,11700.0,23.0,10.808333333333334,10.808333333333334,126.0125,0.0,10.208333333333334,10.208333333333334,132.75,,3.0,3.0,,6.0,7669.0,2400.0,8,8.75,8.75,149.625,0.0,7.666666666666667,7.666666666666667,160.0,,2920.0,9300.0,15,12.866666666666667,12.866666666666667,102.4,0.0,12.75,12.75,105.5,,0.375,0.2,0.2875,2,1,0.3139784946236559,3.1954166666666666
CDA,3,CDA3,8453.0,1.9783333333333333,11700.0,30.0,11.458333333333332,11.458333333333332,123.76388888888889,0.0,11.125,11.125,159.25,,6.0,4.0,,10.0,5508.0,2400.0,18,9.5,9.5,126.27777777777777,0.0,8.25,8.25,149.5,,2945.0,9300.0,12,13.416666666666666,13.416666666666666,121.25,0.0,14.0,14.0,169.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,0.31666666666666665,2.295
CDA,3,CDA4,9357.0,1.1614112903225806,11700.0,21.0,11.172727272727272,11.172727272727272,108.45454545454545,0.0,11.25,11.25,134.75,,0.0,2.0,,2.0,4135.0,2400.0,11,8.545454545454545,8.545454545454545,89.9090909090909,0.0,11.0,11.0,100.0,,5222.0,9300.0,10,13.8,13.8,127.0,0.0,11.5,11.5,169.5,,0.0,0.2,0.1,4,1,0.561505376344086,1.7229166666666667
CDA,3,CDA5,6883.0,-0.1954704301075269,11700.0,36.0,13.679566563467493,13.679566563467493,123.4969040247678,0.0,13.375,13.375,163.875,,6.0,6.0,,12.0,1039.0,2400.0,19,10.947368421052632,10.947368421052632,123.05263157894737,0.0,11.5,11.5,159.0,,5844.0,9300.0,17,16.41176470588235,16.41176470588235,123.94117647058823,0.0,15.25,15.25,168.75,,0.3157894736842105,0.35294117647058826,0.33436532507739936,5,1,0.6283870967741936,0.43291666666666667
CDA,4,CDA1,8837.0,1.611518817204301,11700.0,39.0,8.472222222222221,8.472222222222221,87.44444444444444,0.0,10.666666666666668,10.666666666666668,105.70833333333334,,1.0,2.0,,3.0,4887.0,2400.0,12,6.5,6.5,87.33333333333333,0.0,8.0,8.0,119.25,,3950.0,9300.0,27,10.444444444444445,10.444444444444445,87.55555555555556,0.0,13.333333333333334,13.333333333333334,92.16666666666667,,0.08333333333333333,0.07407407407407407,0.07870370370370369,1,1,0.42473118279569894,2.03625
CDA,4,CDA2,11417.0,2.745228494623656,11700.0,34.0,10.3,10.3,114.99642857142857,0.0,9.791666666666668,9.791666666666668,164.5,,4.0,5.0,,9.0,7579.0,2400.0,14,8.0,8.0,110.14285714285714,0.0,8.333333333333334,8.333333333333334,200.0,,3838.0,9300.0,20,12.6,12.6,119.85,0.0,11.25,11.25,129.0,,0.2857142857142857,0.25,0.26785714285714285,2,1,0.4126881720430107,3.1579166666666665
CDA,4,CDA3,10661.0,1.6245430107526881,11700.0,34.0,11.238636363636363,11.238636363636363,116.18939393939394,0.0,11.55,11.55,134.55,,6.0,2.0,,8.0,5286.0,2400.0,22,9.727272727272727,9.727272727272727,111.54545454545455,0.0,10.6,10.6,148.6,,5375.0,9300.0,12,12.75,12.75,120.83333333333333,0.0,12.5,12.5,120.5,,0.2727272727272727,0.16666666666666666,0.21969696969696967,3,1,0.5779569892473119,2.2025
CDA,4,CDA4,7931.0,0.745470430107527,11700.0,18.0,12.7875,12.7875,128.25,0.0,13.666666666666668,13.666666666666668,159.5,,0.0,4.0,,4.0,3049.0,2400.0,10,11.2,11.2,113.5,0.0,11.333333333333334,11.333333333333334,119.0,,4882.0,9300.0,8,14.375,14.375,143.0,0.0,16.0,16.0,200.0,,0.0,0.5,0.25,4,1,0.5249462365591397,1.2704166666666667
CDA,4,CDA5,6524.0,-0.2795295698924732,11700.0,38.0,13.31578947368421,13.31578947368421,109.05263157894737,0.0,15.35,15.35,160.4,,4.0,7.0,,11.0,805.0,2400.0,19,10.0,10.0,101.26315789473684,0.0,13.5,13.5,200.0,,5719.0,9300.0,19,16.63157894736842,16.63157894736842,116.84210526315789,0.0,17.2,17.2,120.8,,0.21052631578947367,0.3684210526315789,0.2894736842105263,5,1,0.6149462365591398,0.33541666666666664
CDA,5,CDA1,6004.0,-0.4235645933014354,10700.0,44.0,6.435729847494553,6.435729847494553,105.50217864923746,0.0,7.375,7.375,156.875,,2.0,4.0,,6.0,4276.0,8800.0,17,4.352941176470588,4.352941176470588,117.41176470588235,0.0,5.75,5.75,144.5,,1728.0,1900.0,27,8.518518518518519,8.518518518518519,93.5925925925926,0.0,9.0,9.0,169.25,,0.11764705882352941,0.14814814814814814,0.1328976034858388,1,2,0.9094736842105263,0.4859090909090909
CDA,5,CDA2,7453.0,-0.7363098086124401,10700.0,33.0,7.181818181818182,7.181818181818182,117.38636363636363,0.0,7.0,7.0,200.0,,6.0,7.0,,13.0,4979.0,8800.0,11,4.090909090909091,4.090909090909091,135.9090909090909,0.0,3.5,3.5,200.0,,2474.0,1900.0,22,10.272727272727273,10.272727272727273,98.86363636363636,0.0,10.5,10.5,200.0,,0.5454545454545454,0.3181818181818182,0.43181818181818177,2,2,1.3021052631578947,0.5657954545454545
CDA,5,CDA3,10374.0,-0.8305861244019139,10700.0,34.0,6.294736842105263,6.294736842105263,119.8719298245614,0.0,6.791666666666666,6.791666666666666,129.54166666666666,,8.0,4.0,,12.0,7234.0,8800.0,19,4.7894736842105265,4.7894736842105265,121.21052631578948,0.0,6.25,6.25,136.75,,3140.0,1900.0,15,7.8,7.8,118.53333333333333,0.0,7.333333333333333,7.333333333333333,122.33333333333333,,0.42105263157894735,0.26666666666666666,0.343859649122807,3,2,1.6526315789473685,0.8220454545454545
CDA,5,CDA4,8298.0,-0.9013875598086125,10700.0,26.0,7.7976190476190474,7.7976190476190474,116.4702380952381,0.0,7.833333333333334,7.833333333333334,174.66666666666669,,4.0,2.0,,6.0,5416.0,8800.0,12,5.666666666666667,5.666666666666667,119.08333333333333,0.0,5.666666666666667,5.666666666666667,149.33333333333334,,2882.0,1900.0,14,9.928571428571429,9.928571428571429,113.85714285714286,0.0,10.0,10.0,200.0,,0.3333333333333333,0.14285714285714285,0.23809523809523808,4,2,1.516842105263158,0.6154545454545455
CDA,5,CDA5,8895.0,-1.8273923444976075,10700.0,35.0,10.71875,10.71875,130.17105263157896,0.0,11.5,11.5,156.58333333333331,,8.0,5.0,,13.0,4460.0,8800.0,19,7.0,7.0,127.84210526315789,0.0,8.0,8.0,136.66666666666666,,4435.0,1900.0,16,14.4375,14.4375,132.5,0.0,15.0,15.0,176.5,,0.42105263157894735,0.3125,0.3667763157894737,5,2,2.3342105263157893,0.5068181818181818
CDA,6,CDA1,5752.0,-0.8163337320574162,10700.0,47.0,5.777777777777778,5.777777777777778,93.00766283524905,0.0,6.375,6.375,182.0,,1.0,2.0,,3.0,3455.0,8800.0,18,4.555555555555555,4.555555555555555,106.22222222222223,0.0,6.75,6.75,164.0,,2297.0,1900.0,29,7.0,7.0,79.79310344827586,0.0,6.0,6.0,200.0,,0.05555555555555555,0.06896551724137931,0.06226053639846743,1,2,1.2089473684210525,0.3926136363636364
CDA,6,CDA2,10190.0,-0.8329366028708134,10700.0,29.0,7.913043478260869,7.913043478260869,128.0144927536232,0.0,6.916666666666667,6.916666666666667,175.5,,3.0,8.0,,11.0,7079.0,8800.0,6,6.0,6.0,145.33333333333334,0.0,3.3333333333333335,3.3333333333333335,151.0,,3111.0,1900.0,23,9.826086956521738,9.826086956521738,110.69565217391305,0.0,10.5,10.5,200.0,,0.5,0.34782608695652173,0.42391304347826086,2,2,1.6373684210526316,0.8044318181818182
CDA,6,CDA3,10029.0,-0.6726854066985646,10700.0,33.0,6.372222222222222,6.372222222222222,120.89444444444445,0.0,7.3,7.3,159.1,,7.0,2.0,,9.0,7197.0,8800.0,18,5.277777777777778,5.277777777777778,119.05555555555556,0.0,6.4,6.4,182.0,,2832.0,1900.0,15,7.466666666666667,7.466666666666667,122.73333333333333,0.0,8.2,8.2,136.2,,0.3888888888888889,0.13333333333333333,0.2611111111111111,3,2,1.4905263157894737,0.8178409090909091
CDA,6,CDA4,8072.0,-1.108815789473684,10700.0,24.0,7.895104895104895,7.895104895104895,129.23426573426573,0.0,6.5,6.5,187.5,,5.0,3.0,,8.0,4906.0,8800.0,11,5.636363636363637,5.636363636363637,131.54545454545453,0.0,5.0,5.0,200.0,,3166.0,1900.0,13,10.153846153846153,10.153846153846153,126.92307692307692,0.0,8.0,8.0,175.0,,0.45454545454545453,0.23076923076923078,0.34265734265734266,4,2,1.6663157894736842,0.5575
CDA,6,CDA5,8774.0,-1.857141148325359,10700.0,24.0,10.892857142857142,10.892857142857142,138.84285714285716,0.0,10.5,10.5,176.25,,5.0,4.0,,9.0,4314.0,8800.0,10,8.0,8.0,139.4,0.0,7.0,7.0,152.5,,4460.0,1900.0,14,13.785714285714286,13.785714285714286,138.28571428571428,0.0,14.0,14.0,200.0,,0.5,0.2857142857142857,0.39285714285714285,5,2,2.3473684210526318,0.49022727272727273
CDA,7,CDA1,8382.0,-0.13093899521531094,10700.0,37.0,5.445454545454545,5.445454545454545,111.8439393939394,0.0,6.25,6.25,140.5,,1.0,5.0,,6.0,6689.0,8800.0,15,4.8,4.8,112.73333333333333,0.0,5.0,5.0,127.75,,1693.0,1900.0,22,6.090909090909091,6.090909090909091,110.95454545454545,0.0,7.5,7.5,153.25,,0.06666666666666667,0.22727272727272727,0.14696969696969697,1,2,0.8910526315789473,0.7601136363636364
CDA,7,CDA2,8322.0,-0.9748145933014355,10700.0,31.0,6.859523809523809,6.859523809523809,102.89285714285714,0.0,8.333333333333334,8.333333333333334,156.875,,4.0,5.0,,9.0,5321.0,8800.0,10,5.1,5.1,117.5,0.0,6.666666666666667,6.666666666666667,170.0,,3001.0,1900.0,21,8.619047619047619,8.619047619047619,88.28571428571429,0.0,10.0,10.0,143.75,,0.4,0.23809523809523808,0.319047619047619,2,2,1.5794736842105264,0.6046590909090909
CDA,7,CDA3,10534.0,-0.1993301435406699,10700.0,31.0,5.825,5.825,136.01363636363635,0.0,7.0,7.0,151.54166666666669,,7.0,4.0,,11.0,8352.0,8800.0,20,4.65,4.65,115.3,0.0,6.0,6.0,166.33333333333334,,2182.0,1900.0,11,7.0,7.0,156.72727272727272,0.0,8.0,8.0,136.75,,0.35,0.36363636363636365,0.3568181818181818,3,2,1.148421052631579,0.9490909090909091
CDA,7,CDA4,8010.0,-0.7741267942583732,10700.0,26.0,6.727272727272727,6.727272727272727,129.3151515151515,0.0,7.291666666666667,7.291666666666667,147.83333333333331,,5.0,2.0,,7.0,5378.0,8800.0,11,4.454545454545454,4.454545454545454,136.36363636363637,0.0,5.25,5.25,149.0,,2632.0,1900.0,15,9.0,9.0,122.26666666666667,0.0,9.333333333333334,9.333333333333334,146.66666666666666,,0.45454545454545453,0.13333333333333333,0.29393939393939394,4,2,1.3852631578947368,0.6111363636363636
CDA,7,CDA5,8411.0,-1.7172846889952151,10700.0,34.0,10.5,10.5,103.97058823529412,0.0,11.366666666666667,11.366666666666667,156.7,,6.0,2.0,,8.0,4234.0,8800.0,17,7.0588235294117645,7.0588235294117645,100.94117647058823,0.0,7.4,7.4,184.4,,4177.0,1900.0,17,13.941176470588236,13.941176470588236,107.0,0.0,15.333333333333334,15.333333333333334,129.0,,0.35294117647058826,0.11764705882352941,0.23529411764705882,5,2,2.198421052631579,0.48113636363636364
CDA,8,CDA1,9166.0,-0.6024461722488038,10700.0,39.0,6.140000000000001,6.140000000000001,98.79142857142857,0.0,6.833333333333334,6.833333333333334,143.75,,2.0,2.0,,4.0,6597.0,8800.0,14,5.0,5.0,108.14285714285714,0.0,5.666666666666667,5.666666666666667,150.0,,2569.0,1900.0,25,7.28,7.28,89.44,0.0,8.0,8.0,137.5,,0.14285714285714285,0.08,0.11142857142857143,1,2,1.3521052631578947,0.7496590909090909
