id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,max_price,min_price,order_price_diff,max_rate,period,block,max_rate_percent,contract_percent,in_market_quantity,price_dev_from_contract,in_market_percent,ce_price,ind_ce_profit,realized_surplus,excess_profit,format,time
1,buy,0.0,0.0,17.0,300.0,1,3.0,0.0,3.0,3.0,1,1,0.1,0.0,300,14.0,0.0,14,900.0,0.0,-900.0,Flow30,T1-T10
2,buy,150.24,1132.6,14.0,400.0,1,9.0,0.44086021505376344,8.559139784946236,6.67741935483871,1,1,0.22258064516129034,0.37560000000000004,200,5.0,0.7512000000000001,14,0.0,,1132.6,Flow30,T1-T10
3,buy,300.0,2886.68,17.0,300.0,1,16.782608695652176,5.695652173913044,11.08695652173913,8.710144927536232,1,1,0.29033816425120773,1.0,300,0.2173913043478244,1.0,14,900.0,3.207422222222222,1986.6799999999998,Flow30,T1-T10
4,buy,48.09,457.5,16.0,300.0,1,6.446153846153846,4.584615384615384,1.8615384615384616,11.107692307692307,1,1,0.37025641025641026,0.1603,300,9.553846153846154,0.1603,14,600.0,0.7625,-142.5,Flow30,T1-T10
5,sell,369.92,1482.65,3.0,400.0,1,8.359154929577464,3.6971830985915495,4.661971830985915,30.0,1,1,1.0,0.9248000000000001,400,0.6971830985915495,0.9248000000000001,14,4400.0,0.3369659090909091,-2917.35,Flow30,T1-T10
6,sell,136.4,414.52,4.0,400.0,1,11.186666666666667,6.826666666666667,4.36,16.88,1,1,0.5626666666666666,0.341,400,2.826666666666667,0.341,14,4000.0,0.10363,-3585.48,Flow30,T1-T10
7,sell,0.0,0.0,14.0,400.0,1,16.315217391304348,14.315217391304348,2.0,20.0,1,1,0.6666666666666666,0.0,0,0.31521739130434767,,14,0.0,,0.0,Flow30,T1-T10
8,sell,0.0,0.0,11.0,300.0,1,17.85185185185185,16.22222222222222,1.6296296296296295,19.11111111111111,1,1,0.6370370370370371,0.0,300,5.222222222222221,0.0,14,900.0,0.0,-900.0,Flow30,T1-T10
1,buy,57.64,699.64,17.0,300.0,1,5.763888888888889,0.0,5.763888888888889,9.416666666666666,2,1,0.3138888888888889,0.19213333333333332,300,11.23611111111111,0.19213333333333332,14,900.0,0.7773777777777777,-200.36,Flow30,T1-T10
2,buy,265.61,2204.78,14.0,400.0,1,11.436974789915967,4.890756302521009,6.546218487394958,7.394957983193278,2,1,0.24649859943977592,0.6640250000000001,200,2.5630252100840334,1.3280500000000002,14,0.0,,2204.78,Flow30,T1-T10
3,buy,300.0,3038.89,17.0,300.0,1,16.89189189189189,14.45945945945946,2.4324324324324325,8.891891891891891,2,1,0.29639639639639637,1.0,300,0.10810810810810878,1.0,14,900.0,3.3765444444444443,2138.89,Flow30,T1-T10
4,buy,8.4,85.0,16.0,300.0,1,3.4909090909090907,2.4909090909090907,1.0,18.672727272727272,2,1,0.6224242424242424,0.028,300,12.50909090909091,0.028,14,600.0,0.14166666666666666,-515.0,Flow30,T1-T10
