period,block,group,interval,ppi,group_id
1,1,CDA1,1,20.0,1
1,1,CDA1,2,20.0,1
1,1,CDA1,3,16.0,1
1,1,CDA1,4,16.0,1
1,1,CDA1,5,2.0,1
1,1,CDA1,6,12.0,1
1,1,CDA1,7,12.0,1
1,1,CDA1,8,12.0,1
1,1,CDA1,9,10.0,1
1,1,CDA1,10,12.0,1
1,1,CDA1,11,12.0,1
1,1,CDA1,12,13.899999999999999,1
1,1,CDA1,13,9.899999999999999,1
1,1,CDA1,14,2.0,1
1,1,CDA1,15,2.0,1
1,1,CDA1,16,2.0,1
1,1,CDA1,17,4.0,1
1,1,CDA1,18,5.0,1
1,1,CDA1,19,5.0,1
1,1,CDA1,20,5.0,1
1,1,CDA1,21,2.0,1
1,1,CDA1,22,2.0,1
1,1,CDA1,23,13.0,1
1,1,CDA1,24,13.0,1
1,1,CDA1,25,13.0,1
1,1,CDA1,26,9.0,1
1,1,CDA1,27,3.0,1
1,1,CDA1,28,6.0,1
1,1,CDA1,29,6.0,1
1,1,CDA1,30,6.0,1
1,1,CDA1,31,3.0,1
1,1,CDA1,32,3.0,1
1,1,CDA1,33,3.0,1
1,1,CDA1,34,3.0,1
1,1,CDA1,35,1.0,1
1,1,CDA1,36,1.0,1
1,1,CDA1,37,1.0,1
1,1,CDA1,38,1.0,1
1,1,CDA1,39,4.0,1
1,1,CDA1,40,1.0,1
1,1,CDA1,41,1.0,1
1,1,CDA1,42,1.0,1
1,1,CDA1,43,1.0,1
1,1,CDA1,44,1.0,1
1,1,CDA1,45,3.0,1
1,1,CDA1,46,3.0,1
1,1,CDA1,47,1.0,1
1,1,CDA1,48,1.0,1
1,1,CDA1,49,1.0,1
1,1,CDA1,50,1.0,1
1,1,CDA1,51,1.0,1
1,1,CDA1,52,1.0,1
1,1,CDA1,53,1.0,1
1,1,CDA1,54,1.0,1
1,1,CDA1,55,5.0,1
1,1,CDA1,56,5.0,1
1,1,CDA1,57,7.0,1
1,1,CDA1,58,7.0,1
1,1,CDA1,59,7.0,1
1,1,CDA1,60,2.0,1
2,1,CDA1,1,20.0,1
2,1,CDA1,2,20.0,1
2,1,CDA1,3,20.0,1
2,1,CDA1,4,14.0,1
2,1,CDA1,5,6.0,1
2,1,CDA1,6,6.0,1
2,1,CDA1,7,14.0,1
2,1,CDA1,8,6.0,1
2,1,CDA1,9,6.0,1
2,1,CDA1,10,6.0,1
2,1,CDA1,11,8.0,1
2,1,CDA1,12,8.0,1
2,1,CDA1,13,4.0,1
2,1,CDA1,14,4.0,1
2,1,CDA1,15,4.0,1
2,1,CDA1,16,4.0,1
2,1,CDA1,17,3.0,1
2,1,CDA1,18,3.0,1
2,1,CDA1,19,3.0,1
2,1,CDA1,20,7.0,1
2,1,CDA1,21,4.0,1
2,1,CDA1,22,5.0,1
2,1,CDA1,23,5.0,1
2,1,CDA1,24,5.0,1
2,1,CDA1,25,5.0,1
2,1,CDA1,26,5.0,1
2,1,CDA1,27,5.0,1
2,1,CDA1,28,5.0,1
2,1,CDA1,29,5.0,1
2,1,CDA1,30,5.0,1
2,1,CDA1,31,5.0,1
2,1,CDA1,32,5.0,1
2,1,CDA1,33,9.0,1
2,1,CDA1,34,7.0,1
2,1,CDA1,35,1.0,1
2,1,CDA1,36,1.0,1
2,1,CDA1,37,1.0,1
2,1,CDA1,38,1.0,1
2,1,CDA1,39,1.0,1
2,1,CDA1,40,1.0,1
2,1,CDA1,41,1.0,1
2,1,CDA1,42,4.0,1
2,1,CDA1,43,2.0,1
2,1,CDA1,44,2.0,1
2,1,CDA1,45,2.0,1
2,1,CDA1,46,8.0,1
2,1,CDA1,47,7.95,1
2,1,CDA1,48,7.95,1
2,1,CDA1,49,7.9,1
2,1,CDA1,50,7.9,1
2,1,CDA1,51,7.9,1
2,1,CDA1,52,2.0,1
2,1,CDA1,53,2.0,1
2,1,CDA1,54,2.0,1
2,1,CDA1,55,2.0,1
2,1,CDA1,56,2.0,1
2,1,CDA1,57,2.0,1
2,1,CDA1,58,1.0,1
2,1,CDA1,59,1.0,1
2,1,CDA1,60,1.0,1
3,1,CDA1,1,20.0,1
3,1,CDA1,2,20.0,1
3,1,CDA1,3,12.0,1
3,1,CDA1,4,8.0,1
3,1,CDA1,5,6.0,1
3,1,CDA1,6,6.0,1
3,1,CDA1,7,5.0,1
3,1,CDA1,8,5.0,1
3,1,CDA1,9,5.0,1
3,1,CDA1,10,5.0,1
3,1,CDA1,11,5.0,1
3,1,CDA1,12,5.0,1
3,1,CDA1,13,5.0,1
3,1,CDA1,14,4.0,1
3,1,CDA1,15,4.0,1
3,1,CDA1,16,4.0,1
3,1,CDA1,17,4.0,1
3,1,CDA1,18,4.0,1
3,1,CDA1,19,4.0,1
3,1,CDA1,20,4.0,1
3,1,CDA1,21,4.0,1
3,1,CDA1,22,4.0,1
3,1,CDA1,23,10.0,1
3,1,CDA1,24,9.95,1
3,1,CDA1,25,9.95,1
3,1,CDA1,26,10.0,1
3,1,CDA1,27,10.0,1
3,1,CDA1,28,10.0,1
3,1,CDA1,29,10.0,1
3,1,CDA1,30,2.0,1
3,1,CDA1,31,2.0,1
3,1,CDA1,32,2.0,1
3,1,CDA1,33,2.0,1
3,1,CDA1,34,2.0,1
3,1,CDA1,35,2.0,1
3,1,CDA1,36,10.0,1
3,1,CDA1,37,8.0,1
3,1,CDA1,38,7.95,1
3,1,CDA1,39,7.95,1
3,1,CDA1,40,8.0,1
3,1,CDA1,41,8.0,1
3,1,CDA1,42,8.0,1
3,1,CDA1,43,2.0,1
3,1,CDA1,44,4.0,1
3,1,CDA1,45,4.0,1
3,1,CDA1,46,4.0,1
3,1,CDA1,47,4.0,1
3,1,CDA1,48,2.4000000000000004,1
3,1,CDA1,49,2.3000000000000007,1
3,1,CDA1,50,2.3000000000000007,1
3,1,CDA1,51,2.1500000000000004,1
3,1,CDA1,52,2.1500000000000004,1
3,1,CDA1,53,4.0,1
3,1,CDA1,54,4.0,1
3,1,CDA1,55,4.0,1
3,1,CDA1,56,4.0,1
3,1,CDA1,57,11.0,1
3,1,CDA1,58,11.0,1
3,1,CDA1,59,3.0,1
3,1,CDA1,60,3.0,1
4,1,CDA1,1,20.0,1
4,1,CDA1,2,19.95,1
4,1,CDA1,3,15.0,1
4,1,CDA1,4,8.0,1
4,1,CDA1,5,1.0,1
4,1,CDA1,6,5.0,1
4,1,CDA1,7,5.0,1
4,1,CDA1,8,15.0,1
4,1,CDA1,9,15.0,1
4,1,CDA1,10,3.0,1
4,1,CDA1,11,3.0,1
4,1,CDA1,12,3.0,1
4,1,CDA1,13,5.0,1
4,1,CDA1,14,5.0,1
4,1,CDA1,15,7.0,1
4,1,CDA1,16,7.0,1
4,1,CDA1,17,1.0,1
4,1,CDA1,18,1.0,1
4,1,CDA1,19,7.0,1
4,1,CDA1,20,2.0,1
4,1,CDA1,21,1.0,1
4,1,CDA1,22,1.0,1
4,1,CDA1,23,3.0,1
4,1,CDA1,24,3.0,1
4,1,CDA1,25,3.0,1
4,1,CDA1,26,6.0,1
4,1,CDA1,27,6.0,1
4,1,CDA1,28,6.0,1
4,1,CDA1,29,3.0,1
4,1,CDA1,30,3.0,1
4,1,CDA1,31,3.0,1
4,1,CDA1,32,2.0,1
4,1,CDA1,33,10.0,1
4,1,CDA1,34,10.0,1
4,1,CDA1,35,10.0,1
4,1,CDA1,36,10.0,1
4,1,CDA1,37,10.0,1
4,1,CDA1,38,1.0,1
4,1,CDA1,39,1.0,1
4,1,CDA1,40,6.0,1
4,1,CDA1,41,4.0,1
4,1,CDA1,42,5.0,1
4,1,CDA1,43,5.0,1
4,1,CDA1,44,5.0,1
4,1,CDA1,45,9.0,1
4,1,CDA1,46,7.95,1
