group,period,price_deviation,realized_surplus,traded_volume,filled_contract,block,format,ce_quantity,filled_ce_quantity,block_1,block_2,block_3,block_4,block_5,group_id_x,format_num,realized_surplus_percent,filled_contract_percent,change_log_wprice,change_log_price,Traded/CE Quantity,gross_profits,gross_norm_diff,total_ce_profit,overall_order_num,overall_order_price_low,overall_order_price_high,overall_order_quantity,overall_order_rate,overall_order_price_low_initial,overall_order_price_high_initial,overall_order_quantity_initial,overall_order_rate_initial,max_quantity/rate_orders_buy,max_quantity/rate_orders_sell,%no_trans,max_quantity/rate_orders,buyer_profit,buyer_ce_profit,buyer_order_num,buyer_order_price_low,buyer_order_price_high,buyer_order_quantity,buyer_order_rate,buyer_order_price_low_initial,buyer_order_price_high_initial,buyer_order_quantity_initial,buyer_order_rate_initial,seller_profit,seller_ce_profit,seller_order_num,seller_order_price_low,seller_order_price_high,seller_order_quantity,seller_order_rate,seller_order_price_low_initial,seller_order_price_high_initial,seller_order_quantity_initial,seller_order_rate_initial,%max_quantity/rate_orders_buy,%max_quantity/rate_orders_sell,%max_quantity/rate_orders,group_id_y,seller_realized_surplus,buyer_realized_surplus,order_size,gross_diff
CDA1,1,5.25974025974026,0.524,770.0,0.5027,1,CDA,1100,0.7,True,False,False,False,False,1,0,52.400000000000006,50.27,0.40291168809894734,0.1741390300997617,0.7,6131.0,1.3358333333333334,11700.0,34.0,9.973333333333333,9.973333333333333,105.81111111111112,0.0,12.5,12.5,141.16666666666669,,2.0,3.0,,5.0,3806.0,2400.0,9,7.666666666666667,7.666666666666667,115.22222222222223,0.0,8.0,8.0,154.33333333333334,,2325.0,9300.0,25,12.28,12.28,96.4,0.0,17.0,17.0,128.0,,0.2222222222222222,0.12,0.1711111111111111,1,0.25,1.5858333333333334,45.294117647058826,8381.0
CDA1,2,5.443732845379689,0.7185,1093.0,0.6882,1,CDA,1100,0.9936363636363637,True,False,False,False,False,1,0,71.85000000000001,68.82000000000001,0.3583294174522211,0.15518308520675703,0.9936363636363637,8407.0,1.2373521505376344,11700.0,31.0,9.31359649122807,9.31359649122807,106.04385964912281,0.0,11.75,11.75,163.25,,2.0,1.0,,3.0,4085.0,2400.0,12,7.416666666666667,7.416666666666667,122.66666666666667,0.0,11.5,11.5,164.5,,4322.0,9300.0,19,11.210526315789474,11.210526315789474,89.42105263157895,0.0,12.0,12.0,162.0,,0.16666666666666666,0.05263157894736842,0.10964912280701754,1,0.4647311827956989,1.7020833333333334,70.51612903225806,6663.0
CDA1,3,5.127476313522825,0.7522,1161.0,0.7464,1,CDA,1100,1.0554545454545454,True,False,False,False,False,1,0,75.22,74.64,0.301360001567518,0.1734618906822635,1.0554545454545454,8801.0,1.985470430107527,11700.0,38.0,8.807692307692307,8.807692307692307,91.42615384615385,0.0,8.325,8.325,127.85,,1.0,5.0,,6.0,5593.0,2400.0,13,5.615384615384615,5.615384615384615,89.6923076923077,0.0,6.25,6.25,135.5,,3208.0,9300.0,25,12.0,12.0,93.16,0.0,10.4,10.4,120.2,,0.07692307692307693,0.2,0.13846153846153847,1,0.3449462365591398,2.330416666666667,61.10526315789474,9285.0
CDA1,4,4.198970840480275,0.7553,1166.0,0.7845,1,CDA,1100,1.06,True,False,False,False,False,1,0,75.53,78.45,0.4067563299486761,0.1856781387696445,1.06,8837.0,1.611518817204301,11700.0,39.0,8.472222222222221,8.472222222222221,87.44444444444444,0.0,10.666666666666668,10.666666666666668,105.70833333333334,,1.0,2.0,,3.0,4887.0,2400.0,12,6.5,6.5,87.33333333333333,0.0,8.0,8.0,119.25,,3950.0,9300.0,27,10.444444444444445,10.444444444444445,87.55555555555556,0.0,13.333333333333334,13.333333333333334,92.16666666666667,,0.08333333333333333,0.07407407407407407,0.07870370370370369,1,0.42473118279569894,2.03625,59.794871794871796,7837.0
CDA1,5,0.04952076677316253,0.5611,1252.0,0.7467,2,CDA,1200,1.0433333333333332,False,True,False,False,False,1,0,56.11000000000001,74.67,0.1573558639454838,0.0705211039592999,1.0433333333333332,6004.0,-0.4235645933014354,10700.0,44.0,6.435729847494553,6.435729847494553,105.50217864923746,0.0,7.375,7.375,156.875,,2.0,4.0,,6.0,4276.0,8800.0,17,4.352941176470588,4.352941176470588,117.41176470588235,0.0,5.75,5.75,144.5,,1728.0,1900.0,27,8.518518518518519,8.518518518518519,93.5925925925926,0.0,9.0,9.0,169.25,,0.11764705882352941,0.14814814814814814,0.1328976034858388,1,0.9094736842105263,0.4859090909090909,56.90909090909091,-4352.0
CDA1,6,0.32323232323232354,0.5376,1287.0,0.7425,2,CDA,1200,1.0725,False,True,False,False,False,1,0,53.76,74.25,0.2033308688730643,0.1048318985018149,1.0725,5752.0,-0.8163337320574162,10700.0,47.0,5.777777777777778,5.777777777777778,93.00766283524905,0.0,6.375,6.375,182.0,,1.0,2.0,,3.0,3455.0,8800.0,18,4.555555555555555,4.555555555555555,106.22222222222223,0.0,6.75,6.75,164.0,,2297.0,1900.0,29,7.0,7.0,79.79310344827586,0.0,6.0,6.0,200.0,,0.05555555555555555,0.06896551724137931,0.06226053639846743,1,1.2089473684210525,0.3926136363636364,54.765957446808514,-5742.0
CDA1,7,0.1601085481682496,0.7834,1474.0,1.0592,2,CDA,1200,1.2283333333333333,False,True,False,False,False,1,0,78.34,105.91999999999999,0.13101384943387168,0.06992355398053417,1.2283333333333333,8382.0,-0.13093899521531094,10700.0,37.0,5.445454545454545,5.445454545454545,111.8439393939394,0.0,6.25,6.25,140.5,,1.0,5.0,,6.0,6689.0,8800.0,15,4.8,4.8,112.73333333333333,0.0,5.0,5.0,127.75,,1693.0,1900.0,22,6.090909090909091,6.090909090909091,110.95454545454545,0.0,7.5,7.5,153.25,,0.06666666666666667,0.22727272727272727,0.14696969696969697,1,0.8910526315789473,0.7601136363636364,79.67567567567568,-1904.0
CDA1,8,0.4541516245487367,0.8566,1385.0,0.8975,2,CDA,1200,1.1541666666666666,False,True,False,False,False,1,0,85.66,89.75,0.1889401187653841,0.08347974909578529,1.1541666666666666,9166.0,-0.6024461722488038,10700.0,39.0,6.140000000000001,6.140000000000001,98.79142857142857,0.0,6.833333333333334,6.833333333333334,143.75,,2.0,2.0,,4.0,6597.0,8800.0,14,5.0,5.0,108.14285714285714,0.0,5.666666666666667,5.666666666666667,150.0,,2569.0,1900.0,25,7.28,7.28,89.44,0.0,8.0,8.0,137.5,,0.14285714285714285,0.08,0.11142857142857143,1,1.3521052631578947,0.7496590909090909,71.02564102564102,-2872.0
CDA1,9,2.1056160938809727,0.7079,1193.0,0.5813,3,CDA,1500,0.7953333333333333,False,False,True,False,False,1,0,70.78999999999999,58.13,0.19388856486434733,0.1742113979874448,0.7953333333333333,9344.0,0.9132919254658385,13200.0,31.0,6.552272727272728,6.552272727272728,96.79545454545455,0.0,9.05,9.05,117.35,,0.0,3.0,,3.0,7892.0,6900.0,11,5.454545454545454,5.454545454545454,104.0909090909091,0.0,10.5,10.5,159.5,,1452.0,6300.0,20,7.65,7.65,89.5,0.0,7.6,7.6,75.2,,0.0,0.15,0.075,1,0.23047619047619047,1.143768115942029,76.96774193548387,5840.0
CDA1,10,0.7242798353909468,0.8075,1215.0,0.7373,3,CDA,1500,0.81,False,False,True,False,False,1,0,80.75,73.72999999999999,0.05841319546346547,0.05655002169103086,0.81,10659.0,0.8381711525189786,13200.0,36.0,6.7615384615384615,6.7615384615384615,93.86923076923077,0.0,7.4,7.4,139.8,,3.0,2.0,,5.0,8332.0,6900.0,10,5.6,5.6,106.7,0.0,8.0,8.0,167.0,,2327.0,6300.0,26,7.923076923076923,7.923076923076923,81.03846153846153,0.0,6.8,6.8,112.6,,0.3,0.07692307692307693,0.18846153846153846,1,0.36936507936507934,1.207536231884058,67.5,5405.0
CDA1,11,1.6501352569882775,0.8881,1109.0,0.7393,3,CDA,1500,0.7393333333333333,False,False,True,False,False,1,0,88.81,73.92999999999999,0.15831266651354772,0.10567145881769678,0.7393333333333333,11723.0,1.1812491373360938,13200.0,29.0,5.77536231884058,5.77536231884058,108.5072463768116,0.0,4.625,4.625,136.25,,1.0,5.0,,6.0,10018.0,6900.0,6,4.333333333333333,4.333333333333333,110.66666666666667,0.0,2.5,2.5,117.0,,1705.0,6300.0,23,7.217391304347826,7.217391304347826,106.34782608695652,0.0,6.75,6.75,155.5,,0.16666666666666666,0.21739130434782608,0.19202898550724637,1,0.2706349206349206,1.4518840579710144,76.48275862068965,7713.0
CDA1,12,1.2861815208503682,0.8,1223.0,0.6867,3,CDA,1500,0.8153333333333334,False,False,True,False,False,1,0,80.0,68.67,0.11447407978797794,0.12040206803722311,0.8153333333333334,10560.0,1.0946859903381643,13200.0,26.0,5.647727272727273,5.647727272727273,98.2159090909091,0.0,5.0,5.0,106.39285714285714,,0.0,2.0,,2.0,9125.0,6900.0,4,4.25,4.25,101.25,0.0,4.0,4.0,106.5,,1435.0,6300.0,22,7.045454545454546,7.045454545454546,95.18181818181819,0.0,6.0,6.0,106.28571428571429,,0.0,0.09090909090909091,0.045454545454545456,1,0.22777777777777777,1.3224637681159421,94.07692307692308,7090.0
