id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,order_price,period,block,price_dev_from_contract,in_market_quantity,ce_price,format,time
2,buy,257.0,-237,8.0,400.0,1,7.670886075949367,7,2,0.3291139240506329,400.0,6,CDA,T1-T10
3,buy,293.0,3283,17.0,400.0,1,7.326315789473684,7,2,9.673684210526316,400.0,6,CDA,T1-T10
4,buy,321.0,3227,15.0,400.0,1,5.285714285714286,7,2,9.714285714285715,400.0,6,CDA,T1-T10
5,sell,400.0,470,5.0,400.0,1,6.0,7,2,1.0,400.0,6,CDA,T1-T10
6,sell,319.0,-181,6.0,400.0,1,6.885245901639344,7,2,0.8852459016393439,200.0,6,CDA,T1-T10
7,sell,300.0,563,4.0,300.0,1,5.566666666666666,7,2,1.5666666666666664,300.0,6,CDA,T1-T10
8,sell,252.0,841,3.0,300.0,1,5.076923076923077,7,2,2.0769230769230766,300.0,6,CDA,T1-T10
1,buy,233.0,257,6.0,400.0,1,4.813186813186813,8,2,1.186813186813187,0.0,6,CDA,T1-T10
2,buy,139.0,-633,8.0,400.0,1,5.60377358490566,8,2,2.3962264150943398,400.0,6,CDA,T1-T10
3,buy,364.0,4034,17.0,400.0,1,6.509803921568627,8,2,10.490196078431373,400.0,6,CDA,T1-T10
4,buy,341.0,2939,15.0,400.0,1,5.0,8,2,10.0,400.0,6,CDA,T1-T10
5,sell,400.0,500,5.0,400.0,1,6.487179487179487,8,2,1.4871794871794872,400.0,6,CDA,T1-T10
6,sell,111.0,222,6.0,400.0,1,8.456140350877194,8,2,2.4561403508771935,200.0,6,CDA,T1-T10
7,sell,283.0,792,4.0,300.0,1,5.67741935483871,8,2,1.67741935483871,300.0,6,CDA,T1-T10
8,sell,283.0,1055,3.0,300.0,1,6.125,8,2,3.125,300.0,6,CDA,T1-T10
1,buy,300.0,3090,16.0,300.0,1,5.699999999999999,9,3,10.3,300.0,9,CDA,T1-T10
2,buy,207.0,1707,15.0,400.0,1,8.662650602409638,9,3,6.337349397590362,400.0,9,CDA,T1-T10
3,buy,75.0,614,10.0,400.0,1,6.176470588235294,9,3,3.8235294117647056,400.0,9,CDA,T1-T10
4,buy,290.0,2481,14.0,400.0,1,5.466666666666667,9,3,8.533333333333333,400.0,9,CDA,T1-T10
5,sell,400.0,433,3.0,400.0,1,4.0,9,3,1.0,400.0,9,CDA,T1-T10
6,sell,211.0,211,5.0,400.0,1,6.25,9,3,1.25,400.0,9,CDA,T1-T10
7,sell,243.0,790,4.0,400.0,1,6.321100917431193,9,3,2.3211009174311927,400.0,9,CDA,T1-T10
8,sell,18.0,18,8.0,300.0,1,9.933333333333334,9,3,1.9333333333333336,300.0,9,CDA,T1-T10
1,buy,300.0,2818,16.0,300.0,1,14.875,10,3,1.125,300.0,9,CDA,T1-T10
2,buy,291.0,2054,15.0,400.0,1,8.074766355140186,10,3,6.925233644859814,400.0,9,CDA,T1-T10
3,buy,200.0,800,10.0,400.0,1,6.723404255319149,10,3,3.2765957446808507,400.0,9,CDA,T1-T10
4,buy,315.0,2660,14.0,400.0,1,4.958333333333333,10,3,9.041666666666668,400.0,9,CDA,T1-T10
5,sell,400.0,1190,3.0,400.0,1,5.333333333333333,10,3,2.333333333333333,400.0,9,CDA,T1-T10
6,sell,112.0,112,5.0,400.0,1,6.0,10,3,1.0,400.0,9,CDA,T1-T10
7,sell,399.0,830,4.0,400.0,1,6.164179104477612,10,3,2.164179104477612,400.0,9,CDA,T1-T10
8,sell,195.0,195,8.0,300.0,1,9.0,10,3,1.0,300.0,9,CDA,T1-T10
1,buy,300.0,2932,16.0,300.0,1,6.226666666666667,11,3,9.773333333333333,300.0,9,CDA,T11-T20
2,buy,399.0,3858,15.0,400.0,1,7.6103896103896105,11,3,7.3896103896103895,400.0,9,CDA,T11-T20
