period,block,group,interval,ppi,group_id
7,2,CDA1,19,1.0,1
7,2,CDA1,20,4.95,1
7,2,CDA1,21,4.0,1
7,2,CDA1,22,4.0,1
7,2,CDA1,23,1.0,1
7,2,CDA1,24,6.0,1
8,2,CDA1,1,15.0,1
8,2,CDA1,2,3.0,1
8,2,CDA1,3,1.0,1
8,2,CDA1,4,1.0,1
8,2,CDA1,5,2.0,1
8,2,CDA1,6,1.0,1
8,2,CDA1,7,1.0,1
8,2,CDA1,8,1.0,1
8,2,CDA1,9,6.0,1
8,2,CDA1,10,1.0,1
8,2,CDA1,11,1.0,1
8,2,CDA1,12,1.0,1
8,2,CDA1,13,1.0,1
8,2,CDA1,14,1.0,1
8,2,CDA1,15,4.0,1
8,2,CDA1,16,1.0,1
8,2,CDA1,17,2.0,1
8,2,CDA1,18,1.0,1
8,2,CDA1,19,1.0,1
8,2,CDA1,20,2.0,1
8,2,CDA1,21,2.0,1
8,2,CDA1,22,2.0,1
8,2,CDA1,23,1.1500000000000004,1
8,2,CDA1,24,1.0,1
9,3,CDA1,1,14.0,1
9,3,CDA1,2,1.0,1
9,3,CDA1,3,2.0,1
9,3,CDA1,4,5.0,1
9,3,CDA1,5,4.0,1
9,3,CDA1,6,2.0,1
9,3,CDA1,7,2.0,1
9,3,CDA1,8,2.0,1
9,3,CDA1,9,2.0,1
9,3,CDA1,10,2.0,1
9,3,CDA1,11,2.0,1
9,3,CDA1,12,7.0,1
9,3,CDA1,13,6.0,1
9,3,CDA1,14,5.0,1
9,3,CDA1,15,6.0,1
9,3,CDA1,16,6.0,1
9,3,CDA1,17,6.0,1
9,3,CDA1,18,1.0,1
9,3,CDA1,19,5.0,1
9,3,CDA1,20,5.0,1
9,3,CDA1,21,2.0,1
9,3,CDA1,22,2.0,1
9,3,CDA1,23,1.0,1
9,3,CDA1,24,1.0,1
10,3,CDA1,1,7.0,1
10,3,CDA1,2,2.0,1
10,3,CDA1,3,4.0,1
10,3,CDA1,4,2.0,1
10,3,CDA1,5,2.0,1
10,3,CDA1,6,6.0,1
10,3,CDA1,7,6.0,1
10,3,CDA1,8,2.0,1
10,3,CDA1,9,6.0,1
10,3,CDA1,10,5.0,1
10,3,CDA1,11,9.0,1
10,3,CDA1,12,9.0,1
10,3,CDA1,13,9.0,1
10,3,CDA1,14,6.0,1
10,3,CDA1,15,6.0,1
10,3,CDA1,16,1.0,1
10,3,CDA1,17,1.0,1
10,3,CDA1,18,3.0,1
10,3,CDA1,19,1.0,1
10,3,CDA1,20,4.05,1
10,3,CDA1,21,6.0,1
10,3,CDA1,22,6.0,1
10,3,CDA1,23,1.0,1
10,3,CDA1,24,1.0,1
11,3,CDA1,1,19.0,1
11,3,CDA1,2,3.0,1
11,3,CDA1,3,8.0,1
11,3,CDA1,4,2.0,1
11,3,CDA1,5,4.0,1
11,3,CDA1,6,2.0,1
11,3,CDA1,7,1.0,1
11,3,CDA1,8,1.0,1
11,3,CDA1,9,1.0,1
11,3,CDA1,10,1.0,1
11,3,CDA1,11,1.0,1
11,3,CDA1,12,1.0,1
11,3,CDA1,13,1.0,1
11,3,CDA1,14,5.0,1
11,3,CDA1,15,5.0,1
11,3,CDA1,16,1.0,1
11,3,CDA1,17,5.0,1
11,3,CDA1,18,5.0,1
11,3,CDA1,19,5.0,1
11,3,CDA1,20,5.0,1
11,3,CDA1,21,5.0,1
11,3,CDA1,22,5.0,1
11,3,CDA1,23,5.0,1
11,3,CDA1,24,4.0,1
12,3,CDA1,1,3.0,1
12,3,CDA1,2,9.0,1
12,3,CDA1,3,9.0,1
12,3,CDA1,4,5.0,1
12,3,CDA1,5,5.0,1
12,3,CDA1,6,5.0,1
12,3,CDA1,7,6.0,1
12,3,CDA1,8,6.0,1
12,3,CDA1,9,6.0,1
12,3,CDA1,10,6.0,1
12,3,CDA1,11,6.0,1
12,3,CDA1,12,2.0,1
12,3,CDA1,13,5.0,1
12,3,CDA1,14,5.0,1
12,3,CDA1,15,5.0,1
12,3,CDA1,16,6.0,1
12,3,CDA1,17,4.0,1
12,3,CDA1,18,5.0,1
12,3,CDA1,19,5.0,1
12,3,CDA1,20,5.0,1
12,3,CDA1,21,5.0,1
12,3,CDA1,22,5.0,1
12,3,CDA1,23,4.0,1
12,3,CDA1,24,4.0,1
13,4,CDA1,1,17.0,1
13,4,CDA1,2,3.0,1
13,4,CDA1,3,5.0,1
13,4,CDA1,4,1.0,1
13,4,CDA1,5,3.0,1
